insight_type,transcript_id,customer_or_account,call_type,risk_score,risk_terms,sentiment_label,suggested_action,example_excerpt
Churn / Renewal Risk Signals,01KQ3D8C1EF16C042F31FAFD,Trailheadmkt,external,5,"renewal, pricing, contract, trust, procurement",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Rachel Torres and Chris Lee held a renewal call with Isaac Brennan of Trailhead, covering fourteen months of experience with Protect and Detect. Isaac acknowledged a mid-March six-hour outage as a concern but praised the thorough post-mortem and the subsequent"
Churn / Renewal Risk Signals,01KQ0C1280EDA4E70AAD7C35,Summittrust,support,5,"renewal, contract, trust",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Gregory Fisk, IT Director at Summit Trust, called regarding a billing discrepancy on his January invoice showing 1,400 seats for Aegis Identity when their contract specifies 1,200 seats. Sarah Chen investigated and traced the overage to approximately 200 test "
Churn / Renewal Risk Signals,01KQC3A2EBC501837E973B16,Frostbyte,external,5,"budget, contract, sla",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","This was an onboarding kickoff call for Aegis Identity with Victor Zheng and Olivia Strand as the new customers, joined by James Mitchell (account manager) and Ananya Sharma (senior engineer, technical point of contact). The customer is migrating from Okta and"
Churn / Renewal Risk Signals,01KQC1267BEB344076DD7656,Ironcladfinancial,external,5,"renewal, contract, confidence, risk, sla",neutral,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",Maria Santos and Solutions Architect Kevin O'Brien met with Robert Langston and Tanya Desai (Security Engineering) to address a six-hour Detect platform outage and discuss contract renewal ahead of end-of-Q2. Kevin explained the root cause as a cascading singl
Churn / Renewal Risk Signals,01KQEDB92E33CF9945A7F71B,Cobaltsoftware,support,5,"competitor, sla",negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Lauren Bishop, VP of Infrastructure at Cobalt Software, called Aegis Cloud Security support reporting that their Aegis Detect dashboard was completely down with no threat visibility for nearly an hour. David Kim investigated and confirmed a platform-wide casca"
Churn / Renewal Risk Signals,01KQ6A5CEAAFFBE3B0099E75,Steelpointmfg,support,5,"trust, confidence",negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Harold Jensen, IT Director at Steelpoint Manufacturing, called regarding a 3-day-old unresolved LDAP sync failure with Aegis Identity affecting 200+ employees on a 24/7 manufacturing floor. Marcus Williams diagnosed the root cause as an SSL handshake failure c"
Churn / Renewal Risk Signals,01KQ88B8EAEAA819C26CCBE7,Northstarpharma,support,5,"competitor, contract",negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Aegis Cloud Security support rep Elena Vasquez spoke with Grace Yoon and Frank Delaney (VP of IT) of Northstar, a pharmaceutical company, regarding a platform-wide outage of the Aegis Detect event processing pipeline that had been ongoing for approximately nin"
Churn / Renewal Risk Signals,01KQBBF753B44DE677670E6D,Summittrust,support,5,"trust, risk",negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Alicia Monroe (Risk Manager) and Gregory Fisk (IT Director) from Summit Trust contacted Aegis Cloud Security support regarding threat alert delays of 20-45 minutes in their Detect platform, which is critical given their financial services regulatory obligation"
Churn / Renewal Risk Signals,01KQA502E222E2A60330237B,Pineridge,external,5,"renewal, pricing, budget",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Daniel Okafor led a Q1 business review with Yuki Tanaka of Pineridge, joined by Kevin O'Brien and Ananya Sharma. Yuki expressed strong overall satisfaction with the Aegis platform, particularly highlighting Aegis Detect's improved signal-to-noise ratio and a s"
Churn / Renewal Risk Signals,01KQ773D68723289E4A98889,Brightpathcommerce,support,5,"renewal, pricing, contract",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Kendra Wallace, CTO of Brightpath Commerce, contacted Aegis Cloud Security support regarding a $1,400 discrepancy on her February invoice. Marcus Williams identified an overage charge of 2.31 terabytes under the Aegis Protect module, which was traced to a back"
Churn / Renewal Risk Signals,01KQAEA50436D047BC39CFC7,Crestlinewealth,support,5,"renewal, pricing, contract",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Maria Santos met with Derek Owens of Crestline Wealth to discuss their upcoming renewal in late March 2026, approximately six weeks out. They reviewed usage across three modules (Protect, Detect, and Comply), with Derek noting data growth from 14TB to approxim"
Churn / Renewal Risk Signals,01KQ45F6F7349D0A620571F1,Brightpathcommerce,external,4,"renewal, pricing, contract, confidence",neutral,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Aisha Johnson (Aegis) spoke with Kendra Wallace (Brightpath) about the state of their security vendor relationship, which has been under strain following a six-hour Aegis Detect outage in March. Kendra disclosed that Brightpath has been actively evaluating Sen"
Churn / Renewal Risk Signals,01KQ0F8AFF3DA34FD4580008,Cobaltsoftware,external,4,"renewal, pricing, contract, procurement",neutral,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Lisa Park (CSM) met with Lauren Bishop to discuss the upcoming June renewal, address the March Detect outage, and review the recently released Comply v2. Lauren was candid about internal concerns raised by the six-hour outage and noted that procurement is requ"
Churn / Renewal Risk Signals,01KQ325BDEDEE927D2970775,Ridgelinelogistics,support,4,sla,negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",Priya Patel from Aegis support contacted Paula Schneider of Ridgeline (a manufacturing/logistics company) regarding a multi-day alert latency issue with the Aegis Detect product. Priya confirmed the problem was caused by a cascading failure in Aegis's event pr
Churn / Renewal Risk Signals,01KQ94C2B8B9B4668F3D3491,Ridgelinelogistics,support,4,sla,negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Mark Ellison, Infrastructure Lead at Ridgeline Logistics, contacted Aegis Cloud Security support regarding a complete outage of his Detect dashboard that began around 11 PM on March 11th. Elena Vasquez and Sarah Chen confirmed this is a platform-side issue cau"
Churn / Renewal Risk Signals,01KQ7BF0D56037FF89DC89B6,Trailheadmkt,support,4,contract,negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Isaac Brennan, infrastructure lead at Trailhead Marketplace, called Aegis Cloud Security support in frustration over a complete 15+ hour outage of Aegis Detect's event processing pipeline, leaving his retail platform blind to threats. Elena Vasquez and David K"
Churn / Renewal Risk Signals,01KQ6CAA850EAFDC48B52846,Ironworkscorp,external,4,"competitor, trust, confidence, sla",neutral,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.","Maria Santos met with Catherine Page and Russell Tang to address serious concerns about Aegis following a six-hour monitoring outage in March that affected their manufacturing OT environment, poor communication during the incident, and gaps in compliance repor"
Churn / Renewal Risk Signals,01KQB632F1ADC378C42F2C03,Silverlinebrands,support,4,"pricing, contract",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",Michelle Tan and Dominic Flores from Silverline Brands contacted Aegis Cloud Security support regarding a billing discrepancy on their Comply v2 upgrade. They were overbilled $255 because the proration calculation started from April 1st instead of the upgrade 
