insight_table,insight_type,transcript_id,call_type,theme,risk_score,reason,suggested_owner,example_excerpt,why_it_matters,requested_capability,frequency,impacted_call_types,example_excerpts,customer_or_account,risk_terms,sentiment_label,suggested_action,stakeholder,primary_question,top_relevant_theme,relevant_transcripts,negative_transcripts,recommended_action,customer_facing_theme,customer_facing_count,internal_discussion_count,alignment_status
escalation_risks,Escalation Risk Detection,01KQ56AA6B60801ABC01AB1C,support,"Renewal, pricing, and account risk",5.0,"escalat, outage",engineering + support,"Clearwater Medical's Ajay Mehta (Compliance Manager) and Natalie Simmons (IT Director) contacted Aegis Cloud Security to dispute a $4,000+ April invoice. The primary dispute involves $3,200 in Comply module overages tied to report generation during the v2 laun","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQD1270E98A7DFC55ADCF8,support,Product bugs and technical reliability,5.0,"outage, critical",engineering + support,"The team convened to discuss alarming performance issues in the Protect module, triggered by load testing results showing backup job queue times spiking to 47 minutes at 2x P95 customer scale. Two compounding root causes were identified: a job scheduler not bu","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ45C76AF3AEA6B3EA6697,external,"Renewal, pricing, and account risk",4.0,"sla, outage, downtime",engineering + support,"Daniel Okafor and Sofia Petrov met with Harold Jensen to discuss the upcoming renewal of a three-module cybersecurity platform contract (Protect, Detect, and Comply) ahead of an April 30th deadline. Harold raised concerns about a recent six-hour outage that le","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQE110900B8A65D80AE694,support,Product bugs and technical reliability,4.0,escalat,support leader,The team conducted a post-incident review of a cascading failure in their event ingestion pipeline that caused six hours of zero threat monitoring visibility for customers. Mike Romano explained that an out-of-memory error on a primary ingestion node triggered,"Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQFEEFFF8E80B0DFD10880,internal,Compliance and audit readiness,4.0,"sla, outage, critical",engineering + support,"The team held a final walk-through of their SOC 2 Type II audit materials before submission to auditors. Key sections reviewed included availability controls, change management, logical access, and incident response, with particular attention given to the Marc","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQC166F678CBA584AAFF8B,support,Product bugs and technical reliability,4.0,"escalat, sla, priority 2",engineering + support,"Derek Owens from a wealth management firm contacted Aegis Cloud Security support regarding persistent policy sync delays and provisioning issues in Aegis Identity, some taking 4-5 hours to propagate. Support engineer Sarah Chen investigated the tenant logs and","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ1267C6AA7D9B3125FEC8,internal,Compliance and audit readiness,4.0,"escalat, breach, critical",support leader,"Raj Kapoor convened a meeting with Tyler, Ravi, Brian, and Mike to prepare for an upcoming SOC 2 Type II audit with a 90-day observation period starting March 1st. The team reviewed key control areas including access control, change management, incident tracki","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ1A6B7E81B06F4A13B60D,support,Product bugs and technical reliability,4.0,"escalat, downtime, critical",support leader,"Kendra Wallace from a retail company contacted Aegis Cloud Security support regarding severely degraded backup performance, with nightly jobs taking 4-6 hours instead of the usual 90 minutes over the past three weeks. David Kim identified a likely root cause: ","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ445B1B5B890316C9E300,support,Compliance and audit readiness,4.0,"sla, outage, critical",engineering + support,Raj facilitated a team standup with Ravi and Sofia covering post-mortem follow-ups from the Detect outage and the Comply v2 rollout status. Sofia identified a critical bug in Comply v2 causing SOC 2 report generation timeouts for enterprise customers with larg,"Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ03B0303900521BB089CA,internal,Product bugs and technical reliability,4.0,"sla, outage, postmortem",engineering + support,"Megan, Raj, and Brian convened on day three of an ongoing outage affecting the Detect product's event processing pipeline. Raj explained that a single point of failure in the event ingestion layer caused a cascading failure, leaving customers with zero threat ","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ5D47170D4828E89EDE37,support,Product bugs and technical reliability,4.0,"sla, outage, critical",engineering + support,Elena Vasquez from Aegis Cloud Security support called Dana Moretti of Forge Industries to discuss the recovery and closure of support case 7537 related to a Detect platform outage. The outage began March 10th with approximately six hours of complete threat mo,"Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ5A966832A146DA4B7D41,support,"Renewal, pricing, and account risk",4.0,"escalat, outage, critical",engineering + support,"Maria Santos (CSM) met with Alicia Monroe from Summit Trust to address concerns ahead of their upcoming renewal. Alicia raised critical issues with Aegis Identity, including inconsistent MFA enforcement in their loan origination system and internal reporting p","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ7BF0D56037FF89DC89B6,support,Product bugs and technical reliability,4.0,"escalat, outage",engineering + support,"Isaac Brennan, infrastructure lead at Trailhead Marketplace, called Aegis Cloud Security support in frustration over a complete 15+ hour outage of Aegis Detect's event processing pipeline, leaving his retail platform blind to threats. Elena Vasquez and David K","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ1DE954A807A5D2653175,support,Compliance and audit readiness,3.0,"escalat, sla, outage",engineering + support,"Megan and Chris conducted a launch readiness review for Comply v2, targeting an April 7th release. A recent Detect outage pulled two engineers off the project for four days, causing a 5-6 day slip on the HIPAA and ISO 27001 reporting engine, which has formatti","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ3F90FF9EBC3DB3632514,support,Internal engineering planning,3.0,"sla, outage",engineering + support,"The team held a sprint 22 retrospective covering the period of March 14-27 for the Identity team. The Detect outage on the 10th impacted sprint capacity, causing two tickets (MFA enforcement policy UI and SSO session timeout configuration) to slip into sprint ","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ31ED026F745FE2A55CCD,internal,Internal engineering planning,3.0,"sla, outage",engineering + support,"The team held a Q2 roadmap planning session for the Identity product, covering three major themes: JIT provisioning and SCIM improvements, adaptive MFA policies, and an Identity audit trail integrated with the Comply module. Technical leads discussed specific ","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ0F8AFF3DA34FD4580008,external,Product bugs and technical reliability,3.0,"escalat, outage",engineering + support,"Lisa Park (CSM) met with Lauren Bishop to discuss the upcoming June renewal, address the March Detect outage, and review the recently released Comply v2. Lauren was candid about internal concerns raised by the six-hour outage and noted that procurement is requ","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ560FF1570C5E7F71D752,external,Product bugs and technical reliability,3.0,"urgent, downtime, critical",support leader,Kevin O'Brien from Aegis spoke with Vanessa Cruz at Coastal Living about deploying Aegis Protect for their hybrid backup and recovery environment following a successful spring collection launch. Vanessa described a fragmented backup setup across CloudPrime and,"Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ77F2867FC54E13A8C495,external,"Onboarding, adoption, and enablement",3.0,"escalat, outage",engineering + support,"James Mitchell (AE) and Kendra Wallace (Brightpath) held an onboarding planning call for the Aegis Detect deployment across Brightpath's CloudPrime and Azure environments. They discussed deployment sequencing, timeline (roughly one month end-to-end), and the i","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ7B802912366FC0A24D4F,support,Product bugs and technical reliability,3.0,"escalat, outage",engineering + support,"The team held an April all-hands covering three main topics: a retrospective on the March Detect outage, the Comply v2 launch status, and Q2 roadmap planning. The Detect outage post-mortem revealed a single point of failure in the ingestion layer that caused a","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ68FB3E9E60C4477CDAB4,support,Compliance and audit readiness,3.0,"sla, outage",engineering + support,"The team held a pre-launch alignment call for the Comply v2 GA deployment scheduled for April 7th. Ravi confirmed infrastructure dry-runs in staging went cleanly, with a minor Lambda cold-start issue to be addressed via a warm-up ping. Nina reported full regre","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQ56D878454E5783DC6D94,support,Feature requests and product feedback,3.0,"urgent, outage",engineering + support,"Damien Rowe from Stratos Cloud contacted Aegis Cloud Security support regarding consistent timeout errors when Aegis Detect attempted to push event data to their LogVault HTTP Event Collector endpoint, an issue that had been ongoing since April 18th. David Kim","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQC1267BEB344076DD7656,external,Product bugs and technical reliability,3.0,"sla, outage",engineering + support,Maria Santos and Solutions Architect Kevin O'Brien met with Robert Langston and Tanya Desai (Security Engineering) to address a six-hour Detect platform outage and discuss contract renewal ahead of end-of-Q2. Kevin explained the root cause as a cascading singl,"Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQA0F0BE68E74D66EB4171,internal,Product bugs and technical reliability,3.0,"outage, downtime",engineering + support,"James Mitchell convened a competitive strategy call with Rachel Torres, Tom Bradley, Jordan Whitfield, and Kevin O'Brien to address SentinelShield's aggressive positioning against Aegis in three recent late-stage deals. Tom Bradley explained the root cause and","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQCF9872BF130D33B1B5EC,support,Internal engineering planning,3.0,"sla, outage",engineering + support,"Alex Reyes led a pre-launch sync with Nina Kowalski and Jordan Whitfield three days before the Comply v2 launch on April 7th. The team reviewed the final QA checklist, confirming two of three open bugs are resolved, with the remaining Safari/PCI DSS cosmetic i","Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
escalation_risks,Escalation Risk Detection,01KQEDE682B4A8D67C657CF1,support,Product bugs and technical reliability,3.0,"escalat, outage, critical",engineering + support,Sarah Chen from Aegis Cloud Security support spoke with Dominic Flores and Michelle Tan (Security Manager) regarding a surge of false positive alerts following the application of agent patch 4.2.1 on Friday night. The patch reset the behavioral detection basel,"Proactively routes urgent customer pain before it becomes churn, SLA exposure, or executive escalation.",,,,,,,,,,,,,,,,,,
feature_requests,Feature Request Mining,,,,,,,,Gives PMs roadmap evidence grounded in customer language rather than anecdote.,alerting and escalation,78.0,"{""internal"": 12, ""support"": 41, ""external"": 25}","01KQ03B0303900521BB089CA: Megan, Raj, and Brian convened on day three of an ongoing outage affecting the Detect product's event processing pipeline. Raj explained that a single point of failure in the event ingestion layer caused a cascading failure, leaving custome | 01KQ0C1280EDA4E70AAD7C35: Gregory Fisk, IT Director at Summit Trust, called regarding a billing discrepancy on his January invoice showing 1,400 seats for Aegis Identity when their contract specifies 1,200 seats. Sarah Chen investigated and traced the overage to app | 01KQ0CAE7F064EC93F0540CA: The engineering team held a sprint status check-in covering the Detect pipeline reliability work and the upcoming Comply v2 launch. Mike Romano reported being 60% through the event ingestion refactor, with the end-of-March deadline assessed",,,,,,,,,,,,,,
feature_requests,Feature Request Mining,,,,,,,,Gives PMs roadmap evidence grounded in customer language rather than anecdote.,export and reporting,77.0,"{""internal"": 11, ""external"": 33, ""support"": 33}","01KQ03B0303900521BB089CA: Megan, Raj, and Brian convened on day three of an ongoing outage affecting the Detect product's event processing pipeline. Raj explained that a single point of failure in the event ingestion layer caused a cascading failure, leaving custome | 01KQ0CAE7F064EC93F0540CA: The engineering team held a sprint status check-in covering the Detect pipeline reliability work and the upcoming Comply v2 launch. Mike Romano reported being 60% through the event ingestion refactor, with the end-of-March deadline assessed | 01KQ0DFE299AC7A74E8022CA: Daniel Okafor and solutions architect Kevin O'Brien met with Thomas Hargrove of Redwood to introduce Comply v2 and discuss support for their ISO 27001 certification journey. Thomas shared that Redwood is in early stages of ISO prep, with a ",,,,,,,,,,,,,,
feature_requests,Feature Request Mining,,,,,,,,Gives PMs roadmap evidence grounded in customer language rather than anecdote.,dashboarding and analytics,67.0,"{""internal"": 11, ""external"": 25, ""support"": 31}","01KQ03B0303900521BB089CA: Megan, Raj, and Brian convened on day three of an ongoing outage affecting the Detect product's event processing pipeline. Raj explained that a single point of failure in the event ingestion layer caused a cascading failure, leaving custome | 01KQ0CAE7F064EC93F0540CA: The engineering team held a sprint status check-in covering the Detect pipeline reliability work and the upcoming Comply v2 launch. Mike Romano reported being 60% through the event ingestion refactor, with the end-of-March deadline assessed | 01KQ0F8AFF3DA34FD4580008: Lisa Park (CSM) met with Lauren Bishop to discuss the upcoming June renewal, address the March Detect outage, and review the recently released Comply v2. Lauren was candid about internal concerns raised by the six-hour outage and noted that",,,,,,,,,,,,,,
feature_requests,Feature Request Mining,,,,,,,,Gives PMs roadmap evidence grounded in customer language rather than anecdote.,onboarding and documentation,59.0,"{""internal"": 8, ""support"": 24, ""external"": 27}","01KQ03B0303900521BB089CA: Megan, Raj, and Brian convened on day three of an ongoing outage affecting the Detect product's event processing pipeline. Raj explained that a single point of failure in the event ingestion layer caused a cascading failure, leaving custome | 01KQ0C1280EDA4E70AAD7C35: Gregory Fisk, IT Director at Summit Trust, called regarding a billing discrepancy on his January invoice showing 1,400 seats for Aegis Identity when their contract specifies 1,200 seats. Sarah Chen investigated and traced the overage to app | 01KQ0DFE299AC7A74E8022CA: Daniel Okafor and solutions architect Kevin O'Brien met with Thomas Hargrove of Redwood to introduce Comply v2 and discuss support for their ISO 27001 certification journey. Thomas shared that Redwood is in early stages of ISO prep, with a ",,,,,,,,,,,,,,
feature_requests,Feature Request Mining,,,,,,,,Gives PMs roadmap evidence grounded in customer language rather than anecdote.,integration and API reliability,52.0,"{""support"": 23, ""internal"": 7, ""external"": 22}","01KQ0C1280EDA4E70AAD7C35: Gregory Fisk, IT Director at Summit Trust, called regarding a billing discrepancy on his January invoice showing 1,400 seats for Aegis Identity when their contract specifies 1,200 seats. Sarah Chen investigated and traced the overage to app | 01KQ0CAE7F064EC93F0540CA: The engineering team held a sprint status check-in covering the Detect pipeline reliability work and the upcoming Comply v2 launch. Mike Romano reported being 60% through the event ingestion refactor, with the end-of-March deadline assessed | 01KQ0DFE299AC7A74E8022CA: Daniel Okafor and solutions architect Kevin O'Brien met with Thomas Hargrove of Redwood to introduce Comply v2 and discuss support for their ISO 27001 certification journey. Thomas shared that Redwood is in early stages of ISO prep, with a ",,,,,,,,,,,,,,
feature_requests,Feature Request Mining,,,,,,,,Gives PMs roadmap evidence grounded in customer language rather than anecdote.,granular restore and backup controls,33.0,"{""external"": 16, ""support"": 12, ""internal"": 5}","01KQ0DFE299AC7A74E8022CA: Daniel Okafor and solutions architect Kevin O'Brien met with Thomas Hargrove of Redwood to introduce Comply v2 and discuss support for their ISO 27001 certification journey. Thomas shared that Redwood is in early stages of ISO prep, with a  | 01KQ1A6B7E81B06F4A13B60D: Kendra Wallace from a retail company contacted Aegis Cloud Security support regarding severely degraded backup performance, with nightly jobs taking 4-6 hours instead of the usual 90 minutes over the past three weeks. David Kim identified a | 01KQ1DCC80852AE384C898C9: Maria Santos met with Brianna Foster and Leo Marquez to address a serious six-hour outage on March 10-11 that caused a loss of visibility in Aegis Detect, breaching their 99.5% uptime SLA. The customer expressed eroded confidence in platfor",,,,,,,,,,,,,,
feature_requests,Feature Request Mining,,,,,,,,Gives PMs roadmap evidence grounded in customer language rather than anecdote.,audit logs and data retention,32.0,"{""external"": 18, ""internal"": 4, ""support"": 10}","01KQ0DFE299AC7A74E8022CA: Daniel Okafor and solutions architect Kevin O'Brien met with Thomas Hargrove of Redwood to introduce Comply v2 and discuss support for their ISO 27001 certification journey. Thomas shared that Redwood is in early stages of ISO prep, with a  | 01KQ1267C6AA7D9B3125FEC8: Raj Kapoor convened a meeting with Tyler, Ravi, Brian, and Mike to prepare for an upcoming SOC 2 Type II audit with a 90-day observation period starting March 1st. The team reviewed key control areas including access control, change managem | 01KQ1DC6CA536DE1B31ED8F5: Rachel Torres and Maria Santos from Aegis met with Wayne Keller of Atlas to discuss the upcoming end-of-March contract renewal and billing concerns. Wayne's finance team flagged overage charges on the Aegis Detect module for January and Feb",,,,,,,,,,,,,,
